# generated: 2026-08-25T19:02:36+00:00
# host: seffrin-server  python: 3.13.12  pandas: 3.0.2
# source: ironman_merged.csv  bytes: 516161658  mtime: 2026-03-28T11:07:15+00:00
# deterministic: no sampling, no randomness, no seed required
race_type,field,n_valued,p0.1_sec,p1_sec,p5_sec,p50_sec,p95_sec,p99_sec,p99.9_sec,median_hms
im,swim_sec,1071165,638.0,1660.0,3265.0,4544.0,6228.0,7157.0,8135.0,1:15:44
im,t1_sec,1051808,91.0,140.0,203.0,469.0,955.0,1275.0,2644.8,0:07:49
im,bike_sec,1087991,4725.0,15928.0,17920.0,22196.0,28101.0,30075.0,31852.0,6:09:56
im,t2_sec,1069074,60.0,91.0,140.0,387.0,881.0,1262.0,29436.2,0:06:27
im,run_sec,1090356,2931.4,10490.0,12184.0,16833.0,23518.0,25975.0,47637.9,4:40:33
im,overall_sec,1092939,7590.9,30376.4,34737.0,44737.0,57065.0,59917.0,61055.0,12:25:37
him,swim_sec,1105305,593.0,1044.0,1552.0,2315.0,3264.0,3810.0,4496.7,0:38:35
him,t1_sec,1094436,70.0,109.0,160.0,346.0,679.0,891.0,1366.6,0:05:46
him,bike_sec,1142546,4660.5,7827.0,8620.0,10644.0,13619.0,14975.0,16399.5,2:57:24
him,t2_sec,1131421,51.0,76.0,108.0,254.0,550.0,751.0,1585.0,0:04:14
him,run_sec,1143933,3404.9,4821.0,5434.0,7525.0,10958.0,12366.0,13909.0,2:05:25
him,overall_sec,1144555,11584.6,14693.0,16430.0,21196.0,27691.0,29891.0,31830.0,5:53:16
