# generated: 2026-08-25T16:49:33+00:00
# host: seffrin-server  python: 3.13.12  pandas: 3.0.2
# source: ironman_merged.csv  bytes: 516161658  mtime: 2026-03-28T11:07:15+00:00
# deterministic: no sampling, no randomness, no seed required
key,race,year,race_type,n_official,n_supplementary,count_diff,swim_sec_pairs,swim_sec_exact,t1_sec_pairs,t1_sec_exact,bike_sec_pairs,bike_sec_exact,t2_sec_pairs,t2_sec_exact,run_sec_pairs,run_sec_exact,overall_sec_pairs,overall_sec_exact,split_pairs,split_exact,split_agreement_pct,matched_exact,match_rate_exact,ambiguous_dropped_exact,matched_norm,match_rate_norm,ambiguous_dropped_norm,matched_canon,match_rate_canon,ambiguous_dropped_canon
acapulco|2024|him,acapulco,2024,him,720,720,0,504,504,503,503,498,498,497,497,483,483,475,475,2960,2960,100.0,650,90.78212290502793,6,661,92.31843575418995,6,672,93.85474860335195,6
acapulco|2025|him,acapulco,2025,him,456,456,0,386,386,386,386,376,376,374,374,352,352,335,335,2209,2209,100.0,437,99.31818181818181,24,437,99.31818181818181,24,437,99.31818181818181,24
agadir|2025|him,agadir,2025,him,523,523,0,461,461,459,459,456,456,454,454,453,453,450,450,2733,2733,100.0,507,98.83040935672514,10,509,99.22027290448344,10,511,99.61013645224172,10
aix-en-provence|2024|him,aix-en-provence,2024,him,2271,2271,0,2209,2209,2208,2208,2192,2192,2184,2184,2163,2163,2160,2160,13116,13116,100.0,2229,98.58469703670943,18,2240,99.07120743034056,18,2245,99.38025675077468,22
aix-en-provence|2025|him,aix-en-provence,2025,him,2311,2309,2,2261,2259,2260,2258,2243,2241,2236,2234,2208,2206,2204,2202,13412,13400,99.9105278854757,2294,99.43649761595145,6,2296,99.60954446854664,10,2298,99.69631236442517,10
aracaju-sergipe|2024|him,aracaju-sergipe,2024,him,1103,1103,0,977,977,977,977,964,964,964,964,944,944,944,944,5770,5770,100.0,1090,98.82139619220308,0,1091,98.91205802357209,0,1091,98.91205802357209,0
aracaju-sergipe|2025|him,aracaju-sergipe,2025,him,1221,1221,0,1035,1035,1033,1033,1014,1014,1011,1011,996,996,1005,1005,6094,6094,100.0,1210,99.42481511914544,8,1210,99.42481511914544,8,1210,99.42481511914544,8
augusta|2023|him,augusta,2023,him,1883,1883,0,1777,1777,1776,1776,1762,1762,1751,1751,1734,1734,1682,1682,10482,10482,100.0,1836,97.81566329248801,12,1838,97.92221630261055,12,1839,98.08,16
augusta|2025|him,augusta,2025,him,2346,2331,15,2209,2209,2204,2204,2168,2168,2151,2151,2125,2125,2102,2102,12959,12959,100.0,2286,99.52111449717023,46,2286,99.52111449717023,46,2286,99.52111449717023,46
australia|2005|im,australia,2005,im,1619,1619,0,1516,1516,0,0,1072,1072,0,0,1341,1341,1345,1345,5274,5274,100.0,1594,98.57761286332715,4,1594,98.57761286332715,4,1596,98.7012987012987,4
